timestamp,open,high,low,close,volume
2025-01-02 04:00:00,510.2875,513.7984,510.2875,513.3795,15573
2025-01-02 04:05:00,513.3795,514.0777,513.3097,513.978,10980
2025-01-02 04:10:00,513.9281,514.2772,513.9082,514.1874,8509
2025-01-02 04:15:00,514.1675,514.4169,514.0079,514.2672,3744
2025-01-02 04:20:00,514.2872,514.2872,513.9181,514.1974,7604
2025-01-02 04:25:00,514.2273,514.2473,513.7785,514.1475,4321
2025-01-02 04:30:00,514.1376,514.2273,513.8882,514.0578,3050
2025-01-02 04:35:00,514.0678,514.1675,513.3496,513.5291,4435
2025-01-02 04:40:00,513.579,514.0578,513.4992,514.0478,3074
2025-01-02 04:45:00,514.0079,514.2273,513.978,514.0678,2503
2025-01-02 04:50:00,514.1675,514.2074,513.8184,513.8483,1682
2025-01-02 04:55:00,513.9281,514.3271,513.8782,514.2872,531
2025-01-02 05:00:00,514.357,514.4966,514.1176,514.1575,3186
2025-01-02 05:05:00,514.1376,514.1775,513.7186,514.0877,9544
2025-01-02 05:10:00,514.0578,514.0877,513.3197,513.4394,7086
2025-01-02 05:15:00,513.6189,513.9481,513.4394,513.9481,2911
2025-01-02 05:20:00,513.8982,514.0279,513.7585,513.8184,1051
2025-01-02 05:25:00,513.8583,513.988,513.7087,513.9281,558
2025-01-02 05:30:00,513.8683,514.1775,513.8583,514.1775,1520
2025-01-02 05:35:00,514.1475,514.367,514.0777,514.2174,741
2025-01-02 05:40:00,514.2672,514.2672,514.0777,514.1974,2027
2025-01-02 05:45:00,514.1874,514.2772,514.1276,514.2074,1316
2025-01-02 05:50:00,514.2074,514.2074,513.4094,513.8084,4548
2025-01-02 05:55:00,513.8284,514.2074,513.7984,514.2074,1937
2025-01-02 06:00:00,514.2074,514.2074,513.6089,513.8683,6265
2025-01-02 06:05:00,513.8982,514.0378,513.6788,513.9082,2048
2025-01-02 06:10:00,513.9181,514.3171,513.9181,514.1675,4204
2025-01-02 06:15:00,514.1575,514.4069,514.0478,514.3271,2298
2025-01-02 06:20:00,514.3171,514.367,514.1974,514.2772,1324
2025-01-02 06:25:00,514.2872,514.4069,514.1675,514.3171,547
2025-01-02 06:30:00,514.2872,514.2972,513.8882,513.9979,2522
